Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Radial Distance from Sun,10,0.085107446,0.08510743961694203,1.0,IBS_N
Electronic Box Temperature,10,0.056432366,0.05643236176757287,1.0,IBS_N
Out Board Sensor Temperature,10,0.036360063,0.03636006027299548,1.0,IBS_N
In Board Sensor Temperature,10,0.16509114,0.16509112761816544,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,10,0.06335804,0.06335803524814736,1.0,IBS_N
Heater Dutycycle,10,0.2269973,0.2269972829752038,1.0,IBS_N
Search Coil Magnetometer's Temperature,10,0.09819336,0.09819335263549854,1.0,IBS_N
Solar Array's Angle,10,0.1371333,0.1371332897150033,1.0,IBS_N
High Gain Antenna Azimuth,10,0.05200119,0.05200118609991104,1.0,IBS_N
High Gain Antenna elevation,10,0.07932587,0.0793258640505602,1.0,IBS_N
Radial Distance from Sun,20,0.064722836,0.06472284324895844,0.9999999999999999,IBS_N
Electronic Box Temperature,20,0.24451691,0.24451693738589697,0.9999999999999999,IBS_N
Out Board Sensor Temperature,20,0.06512493,0.06512493729399298,0.9999999999999999,IBS_N
In Board Sensor Temperature,20,0.059913002,0.059913008710256975,0.9999999999999999,IBS_N
Out Board Sensor minus In Board Sensor Temp.,20,0.079064034,0.0790640428551728,0.9999999999999999,IBS_N
Heater Dutycycle,20,0.046819396,0.046819401243772936,0.9999999999999999,IBS_N
Search Coil Magnetometer's Temperature,20,0.19269034,0.19269036158132047,0.9999999999999999,IBS_N
Solar Array's Angle,20,0.01420743,0.014207431591232337,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,20,0.14321375,0.1432137660399418,0.9999999999999999,IBS_N
High Gain Antenna elevation,20,0.08972726,0.08972727004945424,0.9999999999999999,IBS_N
Radial Distance from Sun,30,0.053174965,0.0531749697325723,1.0,IBS_N
Electronic Box Temperature,30,0.32869023,0.3286902592534331,1.0,IBS_N
Out Board Sensor Temperature,30,0.070562266,0.07056227228004222,1.0,IBS_N
In Board Sensor Temperature,30,0.02937216,0.029372162614122472,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,30,0.052867766,0.05286777070523158,1.0,IBS_N
Heater Dutycycle,30,0.02849613,0.028496132536155794,1.0,IBS_N
Search Coil Magnetometer's Temperature,30,0.129365,0.12936501151348603,1.0,IBS_N
Solar Array's Angle,30,0.005113184,0.005113184455073416,1.0,IBS_N
High Gain Antenna Azimuth,30,0.21036595,0.21036596872257118,1.0,IBS_N
High Gain Antenna elevation,30,0.09199226,0.09199226818731186,1.0,IBS_N
Radial Distance from Sun,40,0.055813428,0.055813424539567676,0.9999999999999999,IBS_N
Electronic Box Temperature,40,0.27727756,0.2772775428087923,0.9999999999999999,IBS_N
Solar Wind Analyser temperature,40,0.023374738,0.023374736550766332,0.9999999999999999,IBS_N
Out Board Sensor Temperature,40,0.031437464,0.03143746205087735,0.9999999999999999,IBS_N
In Board Sensor Temperature,40,0.030355796,0.030355794117940763,0.9999999999999999,IBS_N
Out Board Sensor minus In Board Sensor Temp.,40,0.14012557,0.1401255613122152,0.9999999999999999,IBS_N
Heater Dutycycle,40,0.023324706,0.023324704553868317,0.9999999999999999,IBS_N
Search Coil Magnetometer's Temperature,40,0.06855863,0.06855862574936519,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,40,0.25000855,0.25000853449947086,0.9999999999999999,IBS_N
High Gain Antenna elevation,40,0.09972362,0.09972361381713594,0.9999999999999999,IBS_N
Radial Distance from Sun,50,0.046239704,0.046239704,1.0,IBS_N
Electronic Box Temperature,50,0.29921377,0.29921377,1.0,IBS_N
Out Board Sensor Temperature,50,0.025051214,0.025051214,1.0,IBS_N
In Board Sensor Temperature,50,0.027544258,0.027544258,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,50,0.17495143,0.17495143,1.0,IBS_N
Heater Dutycycle,50,0.02138072,0.02138072,1.0,IBS_N
Search Coil Magnetometer's Temperature,50,0.059951488,0.059951488,1.0,IBS_N
Solar Array's Angle,50,0.008944336,0.008944336,1.0,IBS_N
High Gain Antenna Azimuth,50,0.23032697,0.23032697,1.0,IBS_N
High Gain Antenna elevation,50,0.10639611,0.10639611,1.0,IBS_N
Radial Distance from Sun,60,0.06926148,0.06926148027704593,1.0000000000000002,IBS_N
Electronic Box Temperature,60,0.31125316,0.3112531612450127,1.0000000000000002,IBS_N
Solar Wind Analyser temperature,60,0.017603783,0.017603783070415137,1.0000000000000002,IBS_N
Out Board Sensor Temperature,60,0.0381868,0.038186800152747204,1.0000000000000002,IBS_N
In Board Sensor Temperature,60,0.017712688,0.017712688070850757,1.0000000000000002,IBS_N
Out Board Sensor minus In Board Sensor Temp.,60,0.17326117,0.1732611706930447,1.0000000000000002,IBS_N
Heater Dutycycle,60,0.011522957,0.01152295704609183,1.0000000000000002,IBS_N
